agno,rbd,nombre_establecimiento,nombre_comuna,nombre_deprov,nombre_region,numero_region,dependencia,area_geografica,estado,latitud,longitud,numero_alumnos
2013,1233,ESCUELA BASICA REPUBLICA DEL BRASIL,SAN ESTEBAN,San Felipe - Los Andes,DE VALPARA?SO,5,Municipal,Urbano,Funcionando,-32.79839755,-70.57947053,454
2013,1234,ESC. BASICA SILVIO ZENTENO VERGARA,SAN ESTEBAN,San Felipe - Los Andes,DE VALPARA?SO,5,Municipal,Urbano,Funcionando,-32.81098372,-70.57841153,224
2013,1235,ESCUELA LO CALVO,SAN ESTEBAN,San Felipe - Los Andes,DE VALPARA?SO,5,Municipal,Rural,Funcionando,-32.75350165,-70.59213675,174
2013,1237,ESCUELA B?SICA PADRE HUMBERTO MU?OZ R.,SAN ESTEBAN,San Felipe - Los Andes,DE VALPARA?SO,5,Municipal,Rural,Funcionando,-32.71432978,-70.54609753,4
2013,1238,ESCUELA INCLUSIVA SAN LORENZO,SAN ESTEBAN,San Felipe - Los Andes,DE VALPARA?SO,5,Municipal,Rural,Funcionando,-32.78794079,-70.59610293,32
2013,1239,ESCUELA HERMANO FERNANDO DE LA FUENTE,SAN ESTEBAN,San Felipe - Los Andes,DE VALPARA?SO,5,Municipal,Rural,Funcionando,-32.67662617,-70.53600950,4
2013,1240,ESCUELA RIO COLORADO,SAN ESTEBAN,San Felipe - Los Andes,DE VALPARA?SO,5,Municipal,Rural,Funcionando,-32.86191841,-70.42249687,49
2013,1243,ESCUELA EL COBRE,SAN ESTEBAN,San Felipe - Los Andes,DE VALPARA?SO,5,Municipal,Rural,Funcionando,-32.74407818,-70.57845782,30
2013,1244,ESCUELA SAN FRANCISCO,SAN ESTEBAN,San Felipe - Los Andes,DE VALPARA?SO,5,Municipal,Rural,Funcionando,-32.76220514,-70.50156781,5
2013,1245,ESCUELA EL CORAZON,SAN ESTEBAN,San Felipe - Los Andes,DE VALPARA?SO,5,Municipal,Rural,Funcionando,-32.80682040,-70.56013931,183
2013,1246,ESCUELA EL HIGUERAL,SAN ESTEBAN,San Felipe - Los Andes,DE VALPARA?SO,5,Municipal,Rural,Funcionando,-32.77579181,-70.56465807,137
2013,1247,ESCUELA BASICA MARIA ISABEL DE BROWN,CALLE LARGA,San Felipe - Los Andes,DE VALPARA?SO,5,Municipal,Urbano,Funcionando,-32.87230960,-70.65140432,140
2013,1248,ESCUELA BASICA LA PAMPILLA,CALLE LARGA,San Felipe - Los Andes,DE VALPARA?SO,5,Municipal,Urbano,Funcionando,-32.85871418,-70.62413806,332
2013,1249,ESCUELA BASICA PEDRO AGUIRRE CERDA,CALLE LARGA,San Felipe - Los Andes,DE VALPARA?SO,5,Municipal,Rural,Funcionando,-32.86894875,-70.61942989,89
2013,1250,ESCUELA VICTOR KOERNER,CALLE LARGA,San Felipe - Los Andes,DE VALPARA?SO,5,Municipal,Rural,Funcionando,-32.84318908,-70.61323510,100
2013,1251,ESCUELA BASICA CRISTO REDENTOR,CALLE LARGA,San Felipe - Los Andes,DE VALPARA?SO,5,Municipal,Rural,Funcionando,-32.88772190,-70.59168989,171
2013,1252,ESCUELA BASICA VALLE ALEGRE,CALLE LARGA,San Felipe - Los Andes,DE VALPARA?SO,5,Municipal,Rural,Funcionando,-32.85736920,-70.66266805,52
2013,1255,INSTITUTO AGRICOLA PASCUAL BABURIZZA,CALLE LARGA,San Felipe - Los Andes,DE VALPARA?SO,5,Particular Subvencionado,Rural,Funcionando,-32.87881943,-70.58890134,334
2013,1256,COLEGIO PARTICULAR SAN JOSE,CALLE LARGA,San Felipe - Los Andes,DE VALPARA?SO,5,Particular Subvencionado,Urbano,Funcionando,-32.85928272,-70.63173556,240
2013,1257,ESCUELA PERFECTO DE LA FUENTE DEL VILLAR,RINCONADA,San Felipe - Los Andes,DE VALPARA?SO,5,Municipal,Urbano,Funcionando,-32.83298307,-70.69150564,570
2013,1258,ESCUELA BASICA EMIGDIO GALDAMES ROBLES,RINCONADA,San Felipe - Los Andes,DE VALPARA?SO,5,Municipal,Rural,Funcionando,-32.87206633,-70.67915539,81
2013,1259,ESCUELA BASICA MANUEL LEON SALINAS,RINCONADA,San Felipe - Los Andes,DE VALPARA?SO,5,Municipal,Rural,Funcionando,-32.85957824,-70.69563291,77
2013,1260,LICEO PARROQUIAL TERESITA DE LOS ANDES,RINCONADA,San Felipe - Los Andes,DE VALPARA?SO,5,Particular Subvencionado,Rural,Funcionando,-32.84021550,-70.68688860,504
2013,1261,LICEO DOCTOR ROBERTO HUMERES O.,SAN FELIPE,San Felipe - Los Andes,DE VALPARA?SO,5,Municipal,Urbano,Funcionando,-32.74869283,-70.72577061,417
2013,1262,LICEO INDUSTRIAL GUILLERMO RICHARDS CUEVA,SAN FELIPE,San Felipe - Los Andes,DE VALPARA?SO,5,Administracion Delegada,Urbano,Funcionando,-32.74829896,-70.73209185,950
2013,1263,LICEO DE NINAS CORINA URBINA,SAN FELIPE,San Felipe - Los Andes,DE VALPARA?SO,5,Municipal,Urbano,Funcionando,-32.75010357,-70.71893520,810
2013,1264,LICEO SAN FELIPE,SAN FELIPE,San Felipe - Los Andes,DE VALPARA?SO,5,Municipal,Urbano,Funcionando,-32.74412284,-70.73797671,250
2013,1265,ESCUELA BASICA BERNARDO O HIGGINS R.,SAN FELIPE,San Felipe - Los Andes,DE VALPARA?SO,5,Municipal,Urbano,Funcionando,-32.74220925,-70.72372464,349
2013,1266,ESCUELA MANUEL RODRIGUEZ ERDOIZA,SAN FELIPE,San Felipe - Los Andes,DE VALPARA?SO,5,Municipal,Urbano,Funcionando,-32.75741925,-70.72736922,75
2013,1268,ESCUELA BASICA JOSE DE SAN MARTIN,SAN FELIPE,San Felipe - Los Andes,DE VALPARA?SO,5,Municipal,Urbano,Funcionando,-32.75292052,-70.72331195,1149
2013,1269,ESCUELA JOHN F KENNEDY,SAN FELIPE,San Felipe - Los Andes,DE VALPARA?SO,5,Municipal,Urbano,Funcionando,-32.74986264,-70.71413848,248
